-4.348502680659294128e-02,-1.089415140450000763e-02,5.573371648788452148e-01,1.205538064241409302e-01,1.359472610056400299e-02,4.324963986873626709e-01,-8.934365510940551758e-01,8.083434402942657471e-02,1.024668812751770020e-01,-6.932590156793594360e-02,1.348365098237991333e-01,2.989545762538909912e-01,-1.590734273195266724e-01,-3.392017260193824768e-02,-6.646611541509628296e-02,-3.157611936330795288e-02,2.439161539077758789e-01,4.464954137802124023e-01,1.585002392530441284e-01,-6.637031584978103638e-02,-3.208642825484275818e-02,2.145220935344696045e-01,3.060346543788909912e-01,4.384799003601074219e-01,-2.903503179550170898e-01,7.650535702705383301e-01,-7.833889126777648926e-02,-1.097943857312202454e-01,-1.287701576948165894e-01,2.502762973308563232e-01,-4.221845269203186035e-01,1.049326136708259583e-01,7.110471129417419434e-01,1.922946125268936157e-01,-2.754220739006996155e-02,5.424286425113677979e-02
-4.293235391378402710e-02,-1.103705726563930511e-02,5.571008920669555664e-01,1.044564396142959595e-01,-4.249063786119222641e-03,4.090096950531005859e-01,-9.065218567848205566e-01,2.527786977589130402e-02,7.677993178367614746e-02,-1.195151284337043762e-01,1.186995282769203186e-01,3.250506818294525146e-01,-1.548416018486022949e-01,-7.285163551568984985e-02,-9.802973270416259766e-02,-7.248815149068832397e-02,2.534116506576538086e-01,4.429304897785186768e-01,1.656416952610015869e-01,-1.150744557380676270e-01,-3.307517990469932556e-02,1.414785534143447876e-01,2.798688411712646484e-01,4.179003238677978516e-01,-3.346139788627624512e-01,8.873568177223205566e-01,-1.154027655720710754e-01,-2.111066281795501709e-01,-1.459094285964965820e-01,2.542734444141387939e-01,-4.509176611900329590e-01,1.187020689249038696e-01,8.071640133857727051e-01,2.341368794441223145e-01,-1.144457831978797913e-01,8.564902096986770630e-02
-4.300585761666297913e-02,-1.086805574595928192e-02,5.574423670768737793e-01,1.032035201787948608e-01,-8.024065755307674408e-03,4.071921706199645996e-01,-9.074575304985046387e-01,1.586611382663249969e-02,7.676392048597335815e-02,-1.224118098616600037e-01,1.196872591972351074e-01,3.236085474491119385e-01,-1.537084281444549561e-01,-7.822845876216888428e-02,-9.777029603719711304e-02,-7.508347928524017334e-02,2.508612275123596191e-01,4.425805807113647461e-01,1.684795916080474854e-01,-1.231050118803977966e-01,-2.932474017143249512e-02,1.269274204969406128e-01,2.798521816730499268e-01,4.084486961364746094e-01,-3.363567292690277100e-01,9.121083617210388184e-01,-1.191588863730430603e-01,-2.320818156003952026e-01,-1.487295329570770264e-01,2.545571327209472656e-01,-4.578655958175659180e-01,1.229406222701072693e-01,8.243675231933593750e-01,2.356177568435668945e-01,-1.321087032556533813e-01,9.332937002182006836e-02
-4.311999678611755371e-02,-1.067736186087131500e-02,5.578054189682006836e-01,1.030814796686172485e-01,-9.739250876009464264e-03,4.061224162578582764e-01,-9.079338908195495605e-01,1.292579993605613708e-02,7.772355526685714722e-02,-1.234665066003799438e-01,1.183228120207786560e-01,3.228445351123809814e-01,-1.524206101894378662e-01,-8.124443888664245605e-02,-9.699945896863937378e-02,-7.499618083238601685e-02,2.517745494842529297e-01,4.431127905845642090e-01,1.678381860256195068e-01,-1.260900646448135376e-01,-2.717040851712226868e-02,1.219945698976516724e-01,2.805033624172210693e-01,4.033809900283813477e-01,-3.329602479934692383e-01,9.201304316520690918e-01,-1.206145957112312317e-01,-2.405339330434799194e-01,-1.498722434043884277e-01,2.550691366195678711e-01,-4.606362581253051758e-01,1.234413832426071167e-01,8.306584358215332031e-01,2.345663905143737793e-01,-1.384688019752502441e-01,9.665270894765853882e-02
-4.324873164296150208e-02,-9.669612161815166473e-03,5.580093860626220703e-01,1.022470369935035706e-01,-1.100515760481357574e-02,4.083177447319030762e-01,-9.070286750793457031e-01,1.201788336038589478e-02,7.897338271141052246e-02,-1.205512434244155884e-01,1.167097836732864380e-01,3.215143680572509766e-01,-1.500313729047775269e-01,-8.262447267770767212e-02,-9.615378081798553467e-02,-7.424483448266983032e-02,2.477161884307861328e-01,4.394818246364593506e-01,1.692380011081695557e-01,-1.280935257673263550e-01,-2.661188691854476929e-02,1.204378530383110046e-01,2.862415015697479248e-01,4.005982577800750732e-01,-3.300893008708953857e-01,9.226188659667968750e-01,-1.222199946641921997e-01,-2.434214055538177490e-01,-1.504202485084533691e-01,2.533668577671051025e-01,-4.627156853675842285e-01,1.246947050094604492e-01,8.314927816390991211e-01,2.292134910821914673e-01,-1.400772929191589355e-01,9.954819083213806152e-02
-4.330833628773689270e-02,-8.806423284113407135e-03,5.582484006881713867e-01,1.017195060849189758e-01,-1.189130544662475586e-02,4.101109802722930908e-01,-9.062674641609191895e-01,1.207214407622814178e-02,7.987225800752639771e-02,-1.191929131746292114e-01,1.146623641252517700e-01,3.206222355365753174e-01,-1.474194377660751343e-01,-8.329125493764877319e-02,-9.524143487215042114e-02,-7.272928953170776367e-02,2.449093163013458252e-01,4.367650151252746582e-01,1.692437082529067993e-01,-1.292820423841476440e-01,-2.643159404397010803e-02,1.195282712578773499e-01,2.917962372303009033e-01,3.990078568458557129e-01,-3.260869681835174561e-01,9.221456646919250488e-01,-1.232508122920989990e-01,-2.432929873466491699e-01,-1.507604718208312988e-01,2.531945109367370605e-01,-4.624928534030914307e-01,1.225879639387130737e-01,8.299047946929931641e-01,2.271927744150161743e-01,-1.402490288019180298e-01,1.003584489226341248e-01
-4.334667325019836426e-02,-7.935479283332824707e-03,5.585465431213378906e-01,1.012210622429847717e-01,-1.245373860001564026e-02,4.100931584835052490e-01,-9.063237905502319336e-01,1.236847694963216782e-02,7.987076044082641602e-02,-1.188448145985603333e-01,1.138533130288124084e-01,3.187640011310577393e-01,-1.479431986808776855e-01,-8.267828077077865601e-02,-9.585165232419967651e-02,-7.407961040735244751e-02,2.430298775434494019e-01,4.355209767818450928e-01,1.679037511348724365e-01,-1.292495280504226685e-01,-2.611115574836730957e-02,1.184613406658172607e-01,2.951217591762542725e-01,3.990669250488281250e-01,-3.223566114902496338e-01,9.206819534301757812e-01,-1.244300231337547302e-01,-2.425417006015777588e-01,-1.503031700849533081e-01,2.553941011428833008e-01,-4.624797403812408447e-01,1.211648136377334595e-01,8.300626277923583984e-01,2.220226824283599854e-01,-1.393612474203109741e-01,1.004991307854652405e-01
-4.322468489408493042e-02,-7.224565371870994568e-03,5.589070916175842285e-01,1.007727533578872681e-01,-1.280044391751289368e-02,4.087347388267517090e-01,-9.069823026657104492e-01,1.316155120730400085e-02,7.923524081707000732e-02,-1.198936253786087036e-01,1.114141643047332764e-01,3.191439211368560791e-01,-1.508139818906784058e-01,-8.074499666690826416e-02,-9.687336534261703491e-02,-7.506544142961502075e-02,2.409569025039672852e-01,4.359275102615356445e-01,1.634178012609481812e-01,-1.278980970382690430e-01,-2.531550079584121704e-02,1.174532473087310791e-01,2.964270114898681641e-01,3.996593654155731201e-01,-3.191421926021575928e-01,9.194271564483642578e-01,-1.262038052082061768e-01,-2.417705804109573364e-01,-1.515905410051345825e-01,2.598227262496948242e-01,-4.622699022293090820e-01,1.213055774569511414e-01,8.321019411087036133e-01,2.178166061639785767e-01,-1.379536986351013184e-01,1.004125028848648071e-01
-4.325069487094879150e-02,-6.799918133765459061e-03,5.591930150985717773e-01,1.008550822734832764e-01,-1.333775185048580170e-02,4.083915054798126221e-01,-9.071200489997863770e-01,1.418491732329130173e-02,8.026001602411270142e-02,-1.199380308389663696e-01,1.078344807028770447e-01,3.195026814937591553e-01,-1.509099602699279785e-01,-8.046597242355346680e-02,-9.635750949382781982e-02,-7.600888609886169434e-02,2.400845587253570557e-01,4.359118640422821045e-01,1.619392782449722290e-01,-1.279909759759902954e-01,-2.542066387832164764e-02,1.160849928855895996e-01,2.991419136524200439e-01,4.009692072868347168e-01,-3.188034296035766602e-01,9.169690608978271484e-01,-1.289401352405548096e-01,-2.413707971572875977e-01,-1.524461954832077026e-01,2.616481781005859375e-01,-4.619436562061309814e-01,1.216094195842742920e-01,8.333065509796142578e-01,2.148550301790237427e-01,-1.373632997274398804e-01,9.931211918592453003e-02
-4.322417080402374268e-02,-6.695194169878959656e-03,5.596075057983398438e-01,1.010716408491134644e-01,-1.356811355799436569e-02,4.058139026165008545e-01,-9.082486033439636230e-01,1.613328047096729279e-02,7.954815775156021118e-02,-1.243741661310195923e-01,1.034891977906227112e-01,3.184030055999755859e-01,-1.523933261632919312e-01,-8.005378395318984985e-02,-9.728853404521942139e-02,-7.726272195577621460e-02,2.426481544971466064e-01,4.376520514488220215e-01,1.559517532587051392e-01,-1.272869110107421875e-01,-2.430621348321437836e-02,1.153097748756408691e-01,2.981691956520080566e-01,4.040092527866363525e-01,-3.200124502182006836e-01,9.145378470420837402e-01,-1.311049461364746094e-01,-2.420190125703811646e-01,-1.512378305196762085e-01,2.659071087837219238e-01,-4.619044065475463867e-01,1.215166896581649780e-01,8.351508378982543945e-01,2.109269946813583374e-01,-1.378793120384216309e-01,9.421713650226593018e-02
